実質季節調整系列(前期比),,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:％),,,,
"Real, Seasonally Adjusted Series (Quarter-to-Quarter Percent Change)",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(%),,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,純受取,受取,支払,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,Net,Receipt,Payment,,,,,,,,,,,,,
7- 9.,0.1 ,0.9 ,0.8 ,0.9 ,-2.1 ,-0.8 ,***,0.5 ,4.5 ,***,***,0.3 ,0.2 ,,***,0.1 ,***,1.0 ,-10.2 ,0.2 ,,0.1 ,-0.4 ,1.7 ,,0.3 ,,0.6 ,,,,
10-12.,0.9 ,-0.2 ,-0.3 ,-0.4 ,-1.4 ,-2.6 ,***,0.7 ,10.3 ,***,***,-1.8 ,-2.3 ,,***,0.9 ,***,-14.7 ,-21.4 ,0.8 ,,0.9 ,-0.0 ,3.6 ,,1.0 ,,0.3 ,,,,
1999/ 1- 3.,-1.5 ,0.3 ,0.3 ,0.3 ,-1.0 ,-2.7 ,***,1.1 ,0.8 ,***,***,0.2 ,3.0 ,,***,-1.3 ,***,-2.3 ,9.4 ,-1.4 ,,-1.3 ,-2.1 ,1.3 ,,-1.5 ,,-0.3 ,,,,
4- 6.,0.5 ,0.2 ,0.1 ,0.0 ,6.0 ,0.7 ,***,1.0 ,-1.5 ,***,***,0.9 ,1.8 ,,***,0.4 ,***,3.0 ,-16.6 ,0.6 ,,0.6 ,0.7 ,0.2 ,,1.0 ,,0.5 ,,,,
7- 9.,0.6 ,0.8 ,0.8 ,0.8 ,0.4 ,-0.6 ,***,1.2 ,-3.2 ,***,***,4.2 ,2.6 ,,***,0.4 ,***,-1.9 ,-7.7 ,0.4 ,,0.4 ,0.6 ,-0.4 ,,-1.1 ,,0.5 ,,,,
10-12.,-0.1 ,0.1 ,0.1 ,-0.0 ,-3.8 ,1.2 ,***,0.4 ,-0.5 ,***,***,2.3 ,3.0 ,,***,0.1 ,***,2.0 ,-3.1 ,0.2 ,,-0.0 ,-0.0 ,-0.1 ,,-0.1 ,,0.0 ,,,,
2000/ 1- 3.,1.9 ,0.8 ,1.0 ,1.0 ,1.5 ,4.6 ,***,1.3 ,-6.6 ,***,***,5.4 ,0.0 ,,***,1.5 ,***,3.4 ,18.8 ,1.4 ,,1.4 ,2.1 ,-1.0 ,,1.0 ,,1.5 ,,,,
4- 6.,0.6 ,-0.2 ,-0.1 ,-0.3 ,2.8 ,-1.3 ,***,1.3 ,-0.8 ,***,***,3.1 ,3.9 ,,***,0.7 ,***,7.6 ,-13.1 ,1.0 ,,0.6 ,0.7 ,0.5 ,,-0.5 ,,-0.1 ,,,,
7- 9.,-0.0 ,0.1 ,0.2 ,0.2 ,-1.6 ,3.3 ,***,0.8 ,-1.6 ,***,***,1.7 ,2.6 ,,***,-0.1 ,***,0.8 ,3.5 ,-0.1 ,,0.0 ,0.0 ,-0.0 ,,1.2 ,,0.5 ,,,,
10-12.,1.0 ,1.2 ,1.3 ,1.4 ,1.8 ,3.1 ,***,0.6 ,-3.1 ,***,***,-0.4 ,3.7 ,,***,1.1 ,***,3.6 ,10.6 ,1.1 ,,1.4 ,2.1 ,-0.6 ,,1.4 ,,0.8 ,,,,
