spec_version,bridge_scheme,delta,average_percentile_rank_displacement_pp,epsilon,feasible,endpoint_row_count,overall_taxable_mtr_min,overall_taxable_mtr_max,overall_taxable_mtr_width,overall_liability_mtr_min,overall_liability_mtr_max,overall_liability_mtr_width,scientific_status,historical_v6_restricted_lp_reproduced,p1c13_v1_modified,p1c14_v2_modified,p1c15_v3_modified
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,0.25,2.5,0.25,True,84,0.100907337399,0.128679704602,0.0277723672024,0.108847622659,0.137775579803,0.0289279571442,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,0.25,2.5,0.275,True,84,0.100891135249,0.128679704602,0.0277885693531,0.108819689041,0.137775579803,0.0289558907616,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,0.25,2.5,0.3,True,84,0.100883929779,0.128679704602,0.0277957748225,0.108806323885,0.137775579803,0.0289692559178,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,0.5,5,0,False,0,,,,,,,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,0.5,5,0.025,False,0,,,,,,,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,0.5,5,0.05,False,0,,,,,,,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,0.5,5,0.075,False,0,,,,,,,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,0.5,5,0.1,True,84,0.105551842527,0.117415114173,0.0118632716455,0.114431966603,0.126219260154,0.0117872935509,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,0.5,5,0.125,True,84,0.102692161632,0.124415584991,0.0217234233593,0.111165616453,0.133884995677,0.0227193792236,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,0.5,5,0.15,True,84,0.101926350995,0.12689950103,0.0249731500353,0.110134492827,0.135840257742,0.0257057649149,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,0.5,5,0.175,True,84,0.101590550406,0.128028980693,0.026438430287,0.109682947951,0.137069956591,0.0273870086401,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,0.5,5,0.2,True,84,0.101306021135,0.128434248287,0.027128227152,0.109311134051,0.137565631727,0.0282544976756,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,0.5,5,0.225,True,84,0.101048713577,0.128673530572,0.0276248169951,0.109051468781,0.137775579803,0.0287241110221,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,0.5,5,0.25,True,84,0.100907337399,0.128679704602,0.0277723672024,0.108847622659,0.137775579803,0.0289279571442,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,0.5,5,0.275,True,84,0.100891135249,0.128679704602,0.0277885693531,0.108819689041,0.137775579803,0.0289558907616,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,0.5,5,0.3,True,84,0.100883929779,0.128679704602,0.0277957748225,0.108806323885,0.137775579803,0.0289692559178,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
rank_epsilon_surface_v4,rank_transport_budget_fixed_epsilon_surface,1,10,0,False,0,,,,,,,MODEL_CONTINGENT_RANK_EPSILON_SURFACE,False,False,False,False
